Date,Type,Link
2026-03-16 14:29:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439040948707192832
2026-03-16 14:23:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439255910889390080%29
2026-03-16 03:08:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439141526636736512%29
2026-03-16 02:17:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439131746089996288%29
2026-03-16 02:05:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439111236535042048%29
2026-03-16 00:42:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438879360755068928?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7438879360755068928%2C7439108699073425408%29
2026-03-16 00:29:23,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438966190154088448
2026-03-16 00:24:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438879360755068928
2026-03-16 00:00:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438932023479586816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7438932023479586816%2C7438987148768256000%29
2026-03-15 23:59:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439052416836329472%29
2026-03-15 23:58:53,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7439095374985916417%29
2026-03-15 20:16:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438965176390889472
2026-03-15 13:09:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437127558556708864
2026-03-15 13:05:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438838872714797056%29
2026-03-15 13:04:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438679700484485120%29
2026-03-15 13:02:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7435740805149044736
2026-03-14 12:33:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438405832603602944%29
2026-03-13 23:22:29,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438360140883337216%29
2026-03-13 20:32:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438299869951254529%29
2026-03-13 20:31:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438308029323833344%29
2026-03-13 20:31:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438298348589232128%29
2026-03-13 20:30:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438293854010753025%29
2026-03-13 20:28:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438302415990292481%29
2026-03-13 17:57:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438274853591212032%29
2026-03-13 17:57:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438257580906409984%29
2026-03-13 17:56:41,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438255778794446848%29
2026-03-13 15:19:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437885006083076097
2026-03-13 15:15:32,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437860957478916096
2026-03-13 15:14:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438211025167933442?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7438211025167933442%2C7438233021649936386%29
2026-03-13 15:13:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438211025167933442
2026-03-13 15:10:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7437872555450920961
2026-03-13 15:08:28,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438075122000891904
2026-03-13 15:03:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438078898350968832
2026-03-13 15:03:14,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437850237622263808
2026-03-13 15:00:37,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438205736184115200
2026-03-13 14:56:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438226739467812864%29
2026-03-13 14:51:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438221068856610816%29
2026-03-13 14:49:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437844906498269186?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437844906498269186%2C7438098708178812929%29
2026-03-13 14:48:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7412538204525887488?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7412538204525887488%2C7438208768888213504%29
2026-03-12 21:45:12,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437769708990472192
2026-03-12 21:43:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7412538204525887488
2026-03-12 21:28:38,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437143709793787904
2026-03-12 20:44:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430276636119478272
2026-03-12 14:55:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7433447661514661888?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7433447661514661888%2C7437783523131981824%29
2026-03-12 14:54:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7436979504805449728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7436979504805449728%2C7437666062768197632%29
2026-03-11 21:36:54,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437553531907264513
2026-03-11 18:21:57,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437376186457931780?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437376186457931780%2C7437552356428337152%29
2026-03-11 18:20:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437369656442630144?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7437369656442630144%2C7437550931753259008%29
2026-03-11 17:20:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7436979504805449728
